Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
2-pc-black-and-red-dice-set,2 pc black and red dice set,"<p> <span>This set includes elegant red and black dice gold-filled earrings and bracelet. Crafted with high-quality materials, these accessories combine aesthetic appeal with durability, offering a distinctive style for formal or casual occasions. The gold filling ensures a long-lasting finish, making them an excellent addition to any jewelry collection.</span></p>",BeUniqueBeads ,Apparel & Accessories > Jewelry > Jewelry Sets,"","",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,46.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0818/0406/7051/files/2CFB213D-A6D4-4E06-A157-562310F6066C.jpg?v=1773714978,1,"",false,,,,,,,,,,,lb,,,active
april-love,April love,"<p><span>April  Love autism awareness bracelet is crafted from gold-filled materials, ensuring durability and a long-lasting shine. This accessory not only showcases a commitment to autism awareness, but also serves as a subtle reminder of inclusion and understanding within society. Ideal for advocacy and personal expression.</span></p>",BeUniqueBeads ,,"","",false,Size,6 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0818/0406/7051/files/09C1EDF4-E7C6-45D8-8514-FE3BBD96D9BC.jpg?v=1776399970,1,"",false,,,,,,,,,,,lb,,,active
april-love,,,,,,,,,6.5 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
april-love,,,,,,,,,7 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
april-love,,,,,,,,,7.5 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
april-love,,,,,,,,,8 inches,,,,,,,,,0.0,shopify,0,deny,manual,15.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
come-on-dice,Come on dice,"<p><span>The Come on dice earrings feature a striking design with red and black dice, complemented by gold-filled beads. This combination not only enhances aesthetic appeal but also adds durability and a touch of elegance, making them suitable for various occasions and ensuring long-lasting wear.</span></p>",BeUniqueBeads ,Apparel & Accessories > Jewelry > Earrings,"","",true,Size,Medium,,,,,,,,,0.0,,0,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0818/0406/7051/files/7ED73C3F-A521-41AC-920E-361A78534A65.jpg?v=1773112573,1,"",false,,,adults,,dots,hoop,gold,imitation-jewelry,unisex,,lb,,,active
double-the-love-starburst-bracelet,Double the love starburst bracelet,"<p>This handmade 14K gold-filled beaded bracelet is designed for everyday wear. It’s tarnish-resistant, hypoallergenic, and perfect for stacking or wearing solo. This bracelet is made with stardust beads also with stardust heart beads. <br><span></span></p>",My Store,Apparel & Accessories > Jewelry,"","",true,Color,blue,product.metafields.shopify.color-pattern,Size,Size,,,,,,0.0,,5,deny,manual,22.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0818/0406/7051/files/216E93A3-373F-4F48-B215-359913CC2C1D.jpg?v=1773025712,1,"",false,,,adults,,blue; purple; pink; white; yellow; red; aqua; brown,,,,,,lb,,,active
double-the-love-starburst-bracelet,,,,,,,,,purple,,,Size,,,,,,0.0,,5,deny,manual,22.00,,true,true,,,,,"",,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,pink,,,Size,,,,,,0.0,,5,deny,manual,22.00,,true,true,,,,,"",,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,white,,,Size,,,,,,0.0,,5,deny,manual,22.00,,true,true,,,,,"",,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,yellow,,,Size,,,,,,0.0,,5,deny,manual,22.00,,true,true,,,,,"",,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,red,,,Size,,,,,,0.0,shopify,0,deny,manual,22.00,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,
double-the-love-starburst-bracelet,,,,,,,,,aqua,,,Size,,,,,,0.0,,5,deny,manual,22.00,,true,true,,,,,"",,,,,,,,,,,,,,,lb,,,
